title,link,author,date_str
"""На Киевском направлении"" – единственный фильм о Киевском котле",https://ukraina.ru/20250610/na-kievskom-napravlenii--edinstvennyy-film-o-kievskom-kotle-1063816565.html,Алексей  Стаценко,16:00
"«Добрий вечiр, вам, малята, любi хлопчики й дiвчата!.. ». К дню рождения Деда Панаса",https://ukraina.ru/20250610/1023859046.html,Василий  Стоякин,08:00
Мы делили... Черноморский флот,https://ukraina.ru/20250609/1046887656.html,Евгений  Антонюк,"Вчера, 16:03"
"Король, который не смог стать царём. 430 лет Владиславу IV",https://ukraina.ru/20250609/1043531930.html,Василий  Стоякин,"Вчера, 08:00"
Американский счёт Ивана Кожедуба,https://ukraina.ru/20250608/1033029162.html,Дмитрий Заборин,"8 июня, 16:22"
"""Вокруг Булгакова"": шесть редакций ""закатного романа""",https://ukraina.ru/20250608/vokrug-bulgakova-shest-redaktsiy-zakatnogo-romana-1063710979.html,Василий  Стоякин,"8 июня, 12:00"
210 лет Германскому союзу: как создавался II Рейх,https://ukraina.ru/20250608/210-let-germanskomu-soyuzu-kak-sozdavalsya-ii-reykh--1063716715.html,Олег Хавич,"8 июня, 08:00"
"Профессор Иван Сикорский: ""Мы — русские, и Киев — наш""",https://ukraina.ru/20250607/1022667672.html,Антон  Чемакин,"7 июня, 16:00"
"""Чортківська офензива"": последнее наступление украинцев против поляков",https://ukraina.ru/20250607/1046880857.html,Олег Хавич,"7 июня, 07:59"
"17 мгновений Всеволода Шиловского – рекордные съемки ""Миллиона в брачной корзинке""",https://ukraina.ru/20250606/17-mgnoveniy-vsevoloda-shilovskogo--rekordnye-semki-milliona-v-brachnoy-korzinke-1063712338.html,Алексей  Стаценко,"6 июня, 16:00"
Пушкин - авангардист,https://ukraina.ru/20250606/1043309666.html,Василий  Стоякин,"6 июня, 12:01"
"""Щорс идёт под знаменем - красный командир..."": 130 лет человеку, которого по сей день боятся петлюровцы",https://ukraina.ru/20250606/1046878668.html,Алексей  Стаценко,"6 июня, 07:58"
"Киев как родина российского авиастроения: 115 лет самолёту ""Кудашев-1""",https://ukraina.ru/20250605/1023790916.html,Дмитрий Губин,"5 июня, 15:57"
"Николай Плавьюк: 100 лет последнему ""президенту УНР""",https://ukraina.ru/20250605/1046824041.html,Евгений  Антонюк,"5 июня, 08:00"
"Дюнкеркская эвакуация: ""чудо"", ошибка Гитлера – или его попытка договориться с Лондоном?",https://ukraina.ru/20250604/dyunkerkskaya-evakuatsiya-chudo-oshibka-gitlera--ili-ego-popytka-dogovoritsya-s-londonom-1063624183.html,Олег Хавич,"4 июня, 16:00"
Мидуэй: превратности военной фортуны,https://ukraina.ru/20250604/miduey-prevratnosti-voennoy-fortuny-1063543733.html,Василий  Стоякин,"4 июня, 08:00"
"Бетонные химеры ""киевского Гауди"" Владислава Городецкого",https://ukraina.ru/20250603/1023782462.html,Василий  Стоякин,"3 июня, 16:00"
Москва — Симферополь через Харьков: краткая история Южной железной дороги,https://ukraina.ru/20250603/1023765438.html,Дмитрий Губин,"3 июня, 08:05"
Фотоальбом Победы: похороны молодогвардейцев,https://ukraina.ru/20250603/fotoalbom-pobedy-pokhorony-molodogvardeytsev-1063362835.html,Сергей Зуев,"3 июня, 03:24"
“Здоровенькі були…”: как Юрий Тимошенко стал знаменитым Тарапунькой,https://ukraina.ru/20250602/1046786020.html,Алексей  Стаценко,"2 июня, 16:00"
