title,link,author,date_str
"Автор объяснил, как в учебник истории для украинских школ попал Киану Ривз",https://ukraina.ru/20200204/1026577846.html,,"4 февраля 2020, 21:09"
Что общего у наркома Ежова со следователями СБУ,https://ukraina.ru/20200204/1026569151.html,Григорий Богоявленский,"4 февраля 2020, 17:05"
«Черный кот»: как придумали белорусского Бандеру,https://ukraina.ru/20200204/1026571405.html,Андрей  Манчук,"4 февраля 2020, 16:36"
"Юрий Кот: Польша приписала себе победу в войне, на которую Россия не приходила",https://ukraina.ru/20200204/1026571948.html,Юрий Кот,"4 февраля 2020, 15:27"
Киану Ривз строил небоскреб в 30-х годах прошлого века — украинский учебник,https://ukraina.ru/20200204/1026569992.html,,"4 февраля 2020, 14:01"
Киевский модерн архитектора Брадтмана,https://ukraina.ru/20200204/1026434767.html,Василий  Стоякин,"4 февраля 2020, 13:00"
"Эксперт объяснил, в чем можно и в чем нельзя сравнивать войну в Донбассе с войной в Чечне",https://ukraina.ru/20200204/1026565571.html,,"4 февраля 2020, 10:58"
Представители Великобритании и США приедут в Крым на 75-летие Ялтинской конференции,https://ukraina.ru/20200204/1026562374.html,,"4 февраля 2020, 08:38"
Час триумфа и фатальное невезение Юлии Тимошенко,https://ukraina.ru/20200204/1026553034.html,Василий  Стоякин,"4 февраля 2020, 08:15"
День в истории. 4 февраля: под Луганском родился главный политический долгожитель СССР,https://ukraina.ru/20200204/1026560809.html,,"4 февраля 2020, 01:01"
Пушков: Только в головах варшавских политиков есть миф о победе над Россией,https://ukraina.ru/20200203/1026559367.html,,"3 февраля 2020, 17:04"
"«Варшава уже выиграла исторический спор с Москвой, пора налаживать отношения» — польский министр",https://ukraina.ru/20200203/1026553417.html,,"3 февраля 2020, 13:44"
День в истории. 3 февраля: независимая Украина понесла первые территориальные потери,https://ukraina.ru/20200203/1026534188.html,,"3 февраля 2020, 01:01"
Семь чудес Харькова: как первая столица Украины получила свои визитки,https://ukraina.ru/20200202/1026519878.html,,"2 февраля 2020, 14:10"
