title,link,author,date_str
"Василий Прозоров: Пока Россия по кусочкам нарезает фронт ВСУ, Германия провоцирует обмен ядерными ударами",https://ukraina.ru/20250529/1063490016.html,Роман Гнатюк,14:10
"Сделка с Трампом и услуга Турции. Дмитрий Выдрин о том, как РФ закончить войну на Украине за пару месяцев",https://ukraina.ru/20250529/sdelka-s-trampom-i-usluga-turtsii-dmitriy-vydrin-o-tom-kak-rf-zakonchit-voynu-na-ukraine-za-paru-1063477232.html,Анна Черкасова,07:00
"Михаил Мягков: Сейчас Россия делает все, чтобы летом устроить ВСУ аналог Белорусской операции 1944 года",https://ukraina.ru/20250529/1063466844.html,Кирилл Курбатов,06:10
"Майкл Бом: Трамп не верит в успешность переговоров РФ и Украины, но ""золотая лихорадка"" не дает ему покоя",https://ukraina.ru/20250529/maykl-bom-tramp-ne-verit-v-uspeshnost-peregovorov-rf-i-ukrainy-no-zolotaya-likhoradka-ne-daet-emu-1063477629.html,Анна Черкасова,04:50
"Тимофей Борисов: Мерц юлит, когда речь идет о ""Таурусах"", но ВСУ будут получать другое немецкое оружие",https://ukraina.ru/20250528/timofey-borisov-merts-yulit-kogda-rech-idet-o-taurusakh-no-vsu-budut-poluchat-drugoe-nemetskoe-oruzhie-1063474166.html,Денис Рудометов,"Вчера, 19:30"
"Павел Леонов о том, что военное дело - искусство, поэтому наша задача ""передумать противника""",https://ukraina.ru/20250528/pavel-leonov-o-tom-chto-voennoe-delo---iskusstvo-poetomu-nasha-zadacha-peredumat-protivnika-1063458482.html,Денис Рудометов,"Вчера, 17:55"
Виктор Кутырь: ВСУ на фоне новых успехов армии России под Сумами готовятся нанести мощный удар на Суземку,https://ukraina.ru/20250528/1063448125.html,Кирилл Курбатов,"Вчера, 06:00"
"Лариса Шеслер о том, как РФ противостоит тем, кто не хочет связывать свою жизнь с Россией",https://ukraina.ru/20250528/larisa-shesler-o-tom-kak-rf-protivostoit-tem-kto-ne-khochet-svyazyvat-svoyu-zhizn-s-rossiey-1063450148.html,Евгения Линдре,"Вчера, 04:10"
"Александр Котов: Чем больше Мерц намекает по поводу ""Таурусов"", тем жестче становится позиция РФ",https://ukraina.ru/20250527/aleksandr-kotov-chem-bolshe-merts-namekaet-po-povodu-taurusov-tem-zhestche-stanovitsya-pozitsiya-rf--1063435305.html,Анна Черкасова,"27 мая, 19:00"
"Владимир Орлов: Гидре, которая бьет беспилотниками по России, пора рубить головы, а не щупальца",https://ukraina.ru/20250527/vladimir-orlov-gidre-kotoraya-bet-bespilotnikami-po-rossii-pora-rubit-golovy-a-ne-schupaltsa-1063446375.html,Денис Рудометов,"27 мая, 18:00"
Александр Перенджиев: Удары ВС РФ по контейнерам в порту Одессы раскололи Запад по украинскому вопросу,https://ukraina.ru/20250527/1063436195.html,Кирилл Курбатов,"27 мая, 14:30"
"Елена Маркосян: Лишь когда на Вашингтон полетят беспилотники, Трамп начнет понимать Путина",https://ukraina.ru/20250527/elena-markosyan-lish-kogda-na-vashington-poletyat-bespilotniki-tramp-nachnet-ponimat-putina--1063433386.html,Анна Черкасова,"27 мая, 14:07"
"Основатель ТГ ""Рыбарь"" Михаил Звинчук: России нужно выиграть у ВСУ войну в воздухе и даже под землей",https://ukraina.ru/20250527/1063424065.html,Кирилл Курбатов,"27 мая, 07:00"
"Сергей Сазонов: России важно выбить ВСУ из Сум и Харькова, чтобы Украина ушла с левого берега Днепра",https://ukraina.ru/20250526/sergey-sazonov-rossi-vazhno-vybit-vsu-iz-sum-i-kharkova-chtoby-ukraina-ushla-s-levogo-berega-dnepra-1063424853.html,Денис Рудометов,"26 мая, 19:55"
Даниил Безсонов: Россия возьмет под контроль почти все регионы Украины и вместе с США обезжирит Европу,https://ukraina.ru/20250526/1063414209.html,Роман Гнатюк,"26 мая, 12:44"
"Ростислав Ищенко: Даже когда Россия добьет ВСУ, на Западе продолжат рисовать карты Украины с Крымом",https://ukraina.ru/20250526/rostislav-ischenko-dazhe-kogda-rossiya-dobet-vsu-na-zapade-prodolzhat-risovat-karty-ukrainy-s-krymom-1063381326.html,Роман Гнатюк,"26 мая, 06:00"
"Роман Ковригин о будущей войне: Это будет война дронов, но для этого нужны дешевые технологии",https://ukraina.ru/20250526/roman-kovrigin-o-buduschey-voyne-eto-budet-voyna-dronov-no-dlya-etogo-nuzhny-deshevye-tekhnologii-1063406506.html,Владимир Зотов,"26 мая, 05:31"
"К 100-летию ""венгерской графини"" Ольги Батоговой, которая сменила разведку на иновещание",https://ukraina.ru/20250525/radiovolny-vmesto-ratsii-kak-vengerskaya-grafinya-olga-batogova-smenila-razvedku-na-inoveschanie-1062771726.html,Ирина Искандарова,"25 мая, 15:27"
"Владимир Джаралла: В Европе у власти находятся ничтожества, которые ведут мир к серьёзной катастрофе",https://ukraina.ru/20250525/vladimir-dzharalla-v-evrope-u-vlasti-nakhodyatsya-nichtozhestva-kotorye-vedut-mir-k-serznoy-katastrofe-1063397166.html,Кирилл Морозов,"25 мая, 14:01"
"Олег Хавич о том, почему России выгодно, чтобы президентом Польши стал русофоб Навроцкий",https://ukraina.ru/20250525/oleg-khavich-o-tom-pochemu-rossii-vygodno-chtoby-prezidentom-polshi-stal-rusofob-navrotskiy-1063378635.html,Анна Черкасова,"25 мая, 08:00"
"Андрей Фефелов: Если глобалисты успеют создать проект ""Европа плюс"", война на Украине затянется надолго",https://ukraina.ru/20250525/1063372413.html,Кирилл Курбатов,"25 мая, 07:00"
Влад Шлепченко: России для быстрого наступления нужно прикрыть склады и повыбивать украинских дроноводов,https://ukraina.ru/20250524/1063382212.html,Кирилл Курбатов,"24 мая, 07:00"
"""Это колоссальный успех нашей дипломатии"". Грег Вайнер об обмене пленными между Россией и Украиной",https://ukraina.ru/20250523/eto-kolossalnyy-uspekh-nashey-diplomatii-greg-vayner-ob-obmene-plennymi-mezhdu-rossiey-i-ukrainoy-1063375229.html,Анна Черкасова,"23 мая, 18:17"
"Артиллерист: Миномёт – безотказная железная труба, и даже самый современный дрон её не заменит",https://ukraina.ru/20250523/artillerist-minomt--bezotkaznaya-zheleznaya-truba-i-dazhe-samyy-sovremennyy-dron-e-ne-zamenit--1063352905.html,Игорь Гомольский,"23 мая, 15:02"
"Владимир Васильев: Украина пойдет на переговоры с Россией, когда у нее иссякнут запасы оружия Байдена",https://ukraina.ru/20250523/vladimir-vasilev-ukraina-poydet-na-peregovory-s-rossiey-kogda-u-nee-issyaknut-zapasy-oruzhiya-baydena-1063344416.html,Анна Черкасова,"23 мая, 07:30"
"Владимир Носков: Россия изолирует поле боя и займет три высоты, чтобы развалить оборону ВСУ в Донбассе",https://ukraina.ru/20250523/1063331660.html,Кирилл Курбатов,"23 мая, 07:00"
Руслан Панкратов: Гражданская война в Америке витает в воздухе,https://ukraina.ru/20250523/ruslan-pankratov-kak-tolko-rossiya-razberetsya-s-ukrainoy-ona-zaymetsya-pribaltikoy-1063346519.html,Анна Черкасова,"23 мая, 04:19"
"Владимир Корнилов: Европа снова подставляет стульчик к переговорам РФ и Украины, но ситуация уже другая",https://ukraina.ru/20250522/vladimir-kornilov-evropa-snova-podstavlyaet-stulchik-k-peregovoram-rf-i-ukrainy-no-situatsiya-uzhe-1063330263.html,Денис Рудометов,"22 мая, 19:30"
"Скотт Риттер: России и США нужно решить две проблемы, чтобы двигаться дальше по вопросу Украины",https://ukraina.ru/20250522/skott-ritter-rossii-i-ssha-nuzhno-reshit-dve-problemy-chtoby-dvigatsya-dalshe-po-voprosu-ukrainy-1063331047.html,Анна Черкасова,"22 мая, 15:27"
"Роман Алехин: После удара ВС РФ по полигону в Шостке каждый следующий штурм ВСУ станет еще более ""мясным""",https://ukraina.ru/20250522/1063303282.html,Кирилл Курбатов,"22 мая, 06:15"
Дмитрий Краснов: Прямой диалог Путина и Трампа вывел Зеленского на чистую воду,https://ukraina.ru/20250522/dmitriy-krasnov-pryamoy-dialog-putina-i-trampa-vyvel-zelenskogo-na-chistuyu-vodu--1063315143.html,Анна Черкасова,"22 мая, 05:20"
"Сергей Марков: Трамп может купить у Зеленского мир на Украине, если даст ему гарантии безопасности",https://ukraina.ru/20250521/sergey-markov-tramp-mozhet-kupit-u-zelenskogo-mir-na-ukraine-esli-dast-emu-garantii-bezopasnosti-1063309440.html,Денис Рудометов,"21 мая, 16:45"
"Алексей Рамм: Спустя три года СВО у  России появился реальный шанс освободить Донбасс, Запорожье и Сумы",https://ukraina.ru/20250521/1063279893.html,Кирилл Курбатов,"21 мая, 06:30"
Александр Крамаренко: После разговора Трампа и Путина Украина останется один на один с Россией,https://ukraina.ru/20250520/aleksandr-kramarenko-posle-razgovora-trampa-i-putina-ukraina-ostanetsya-odin-na-odin-s-rossiey-1063268988.html,Анна Черкасова,"20 мая, 16:14"
"Катерина Кирбирева о том, что необходимо России, чтоб не проиграть экономическую войну Западу",https://ukraina.ru/20250520/katerina-kirbireva-o-tom-chto-neobkhodimo-rossii-chtob-ne-proigrat-ekonomicheskuyu-voynu-zapadu-1063254781.html,Павел Волков,"20 мая, 07:00"
"Александр Фролов: Если Евросоюз устроит большую охоту за российскими танкерами, то поможет бюджету России",https://ukraina.ru/20250520/aleksandr-frolov-esli-evrosoyuz-ustroit-bolshuyu-okhotu-za-rossiyskimi-tankerami-to-pomozhet-byudzhetu-1063252727.html,Денис Рудометов,"20 мая, 06:30"
Владислав Угольный: Россия после взятия Богатыря будет ломать логистику ВСУ в Дружковке и Константиновке,https://ukraina.ru/20250520/1063243189.html,Кирилл Курбатов,"20 мая, 05:00"
"Петр Акопов: Путин убедил Трампа, что ему надо давить не на Россию, а на Украину вместе с Европой",https://ukraina.ru/20250519/1063255410.html,Кирилл Курбатов,"19 мая, 22:30"
"Иван Лошкарев: Трамп сделал уступку России, но наступление ВС РФ на поле боя это не остановит",https://ukraina.ru/20250519/ivan-loshkarev-tramp-sdelal-ustupku-rossii-no-nastuplenie-vs-rf-na-pole-boya-eto-ne-ostanovit-1063255162.html,Денис Рудометов,"19 мая, 22:10"
"Томаш Мацейчук: На президентских выборах в Польше голоса разделились пополам, но России это не поможет",https://ukraina.ru/20250519/tomash-matseychuk-na-prezidentskikh-vyborakh-v-polshe-golosa-razdelilis-popolam-no-rossii-eto-ne-1063247439.html,Александр Чаленко,"19 мая, 18:52"
"Это давление Британии и ЕС на США. Василий Корчмарь о том, зачем Трамп звонит Путину по Украине",https://ukraina.ru/20250519/eto-davlenie-britanii-i-evropy-na-ssha-vasiliy-korchmar-o-tom-zachem-tramp-zvonit-putinu-po-ukraine-1063249556.html,Анна Черкасова,"19 мая, 16:53"
Юрий Станкевич о танкерной войне Эстонии: Запад провоцирует РФ на агрессию в ответ на незаконные санкции,https://ukraina.ru/20250519/yuriy-stankevich-o-tankernoy-voyne-estonii-zapad-provotsiruet-rf-na-agressiyu-v-otvet-na-nezakonnye-1063244851.html,Анна Черкасова,"19 мая, 15:34"
Игорь Иваненко: На выборах президента Румынии победил кандидат Бухареста и Трансильвании,https://ukraina.ru/20250519/igor-ivanenko-na-vyborakh-prezidenta-rumynii-pobedil-kandidat-bukharesta-i-vengerskoy-transilvanii-1063242647.html,Александр Чаленко,"19 мая, 14:26"
"Ростислав Ищенко: Если бы не началась СВО, Украина через 20 лет сама бы угробила Одессу, Харьков и Киев",https://ukraina.ru/20250519/1063199771.html,Александр Порунов,"19 мая, 07:00"
Психолог Татьяна Белкина: Самое главное – это ловушка двойная,https://ukraina.ru/20250518/psikholog-tatyana-belkina-samoe-glavnoe--eto-lovushka-dvoynaya-1063214187.html,Павел Русский,"18 мая, 08:00"
